OBJECTID,Id_Jardin,Nombre,Barrio,Tipologia,Area,Zona,Distrito_Municipal,geo_point_2d
1490,99111079,ROTONDA CARRETERA DEL RIU / LA PUNTA,LA PUNTA,Acompañamiento Viario,448.4408255,SUR,QUATRE CARRERES,"39.44319866034674, -0.34035799845744913"
1511,99110207,LOS CENTELLES C - CADIZ C,RUSSAFA,Acompañamiento Viario,244.92731038,SUR,L´EIXAMPLA,"39.45965903458715, -0.37204247307305516"
1512,99110310,SAN VICENTE MARTIR C (MONUMENTO SAN VICENTE MARTIR),ARRANCAPINS,Acompañamiento Viario,78.096124265,SUR,EXTRAMURS,"39.46402980075825, -0.38198476962768246"
1518,99110112,COLON C - PALACIO DE JUSTICIA,SANT FRANCESC,Jardines,351.21368999,SUR,CIUTAT VELLA,"39.47165588708636, -0.36916890047149054"
1532,99111917,JOSE MARTI (ESCRIPTOR) C - HORNO DE ALCEDO CMNO,FORN D'ALCEDO,Jardines,395.831711805,SUR,POBLES DEL SUD,"39.43166374294823, -0.37462727881896096"
1534,99110118,CABALLEROS C - LA VIRGEN PL (PALAU DE LA GENERALITAT),SEU,Jardines,761.71049139,SUR,CIUTAT VELLA,"39.4765676616042, -0.3758545819949118"
1554,99110940,TORRE MACANA - CAPITULAR DE GANDIA,CREU COBERTA,Jardines,918.937163875,SUR,JESUS,"39.44800092963923, -0.386188114554823"
1556,99111051,POETA BADENES PL,NA ROVELLA,Jardines,5767.17963778,SUR,QUATRE CARRERES,"39.45668262445306, -0.3618872890083321"
1570,99122016,JARDIN DEL TURIA (TRAMO 16),CAUCE DEL TURIA,Parques Urbanos,78939.4201214,TURIA,CAUCE DEL TURIA,"39.45443231452998, -0.3476215702403577"
1573,99110201,AMERICA PL,EL PLA DEL REMEI,Acompañamiento Viario,1122.132415085,SUR,L´EIXAMPLA,"39.46976593894047, -0.3647039434557391"
1574,99111942,KARL MARX AV,FORN D'ALCEDO,Acompañamiento Viario,111.14580922,SUR,POBLES DEL SUD,"39.431403236586796, -0.3779398116513293"
1576,99110206,CANOVAS DEL CASTILLO PL,EL PLA DEL REMEI,Acompañamiento Viario,710.51900809000006,SUR,L´EIXAMPLA,"39.4683155822382, -0.365722848674977"
1589,99111916,ISMAEL BLAT (PINTOR) C - OVIDI MONTLLOR C (LA TORRE),TORREFIEL,Jardines,1969.66886081,SUR,RASCANYA,"39.431869334652674, -0.3902578822349788"
1591,99110108,GUILLEM DE CASTRO - HOSPITAL (CASA DE LA CULTURA),SANT FRANCESC,Jardines,19353.961891795,SUR,CIUTAT VELLA,"39.47026565494689, -0.3821426060234804"
1600,99120441,JARDIN DE POLIFILO,SANT PAU,Parques Urbanos,39568.73968819,NORTE,CAMPANAR,"39.4923631565581, -0.4047104377943418"
1602,99110717,CORTES DE ARENOSO C -ALEJANDRO VOLTA C,LLUM,Jardines,1219.849124385,SUR,OLIVERETA,"39.46825685482421, -0.4159116910305443"
1610,99110815,EMILIO LLUCH C - JOSE MARIA MORTES LERMA - DE TORRENTE C,VARA DE QUART,Jardines,5012.016727185,SUR,PATRAIX,"39.462611460109855, -0.40194045654046784"
1612,99120411,PROFESOR LLOMBART,CAMPANAR,Parques Urbanos,10870.267771155,NORTE,CAMPANAR,"39.48251719211762, -0.38926748622577234"
1616,99121210,JARDIN DE AIORA,AIORA,Parques Urbanos,38545.82039563,NORTE,CAMINS AL GRAU,"39.467386324232145, -0.3437827697941738"
1628,99110324,PECHINA PSO - TERUEL C - NORTE C - HESPERIDES (ISLETA),PETXINA,Acompañamiento Viario,166.382828485,SUR,EXTRAMURS,"39.47748805863632, -0.38987147278216633"
1643,99120230,GV MARQUES DEL TURIA,EL PLA DEL REMEI,Parques Urbanos,19038.616627345,SUR,L´EIXAMPLA,"39.46695359096629, -0.36895459014189025"
1657,99110915,INGENIERO JOSE SIRERA C - RVDO JOSE NOGUERA C,SANT MARCEL.LI,Jardines,2122.573346775,SUR,JESUS,"39.44680495021238, -0.391291061418528"
1658,99111056,SAN GREGORIO PL,EN CORTS,Acompañamiento Viario,69.283706,SUR,QUATRE CARRERES,"39.45894590864117, -0.36911005952430426"
1662,99111106,MANUEL CARBONERES C,NATZARET,Jardines,5978.097103,SUR,POBLATS MARITIMS,"39.444784732244706, -0.33259390418885854"
1663,99111036,LA SENYERA C,MONT-OLIVET,Jardines,1367.01516348,SUR,QUATRE CARRERES,"39.458756934029864, -0.3644032301122063"
1677,99110138,"COBERTIZO SANTO TOMAS, SOBRE APARCAMIENTO",SEU,Acompañamiento Viario,74.99976297,SUR,CIUTAT VELLA,"39.47498330795076, -0.37675106235159045"
1678,99111067,BERNIA C (TRAVESIA),MALILLA,Jardines,563.66161641,SUR,QUATRE CARRERES,"39.45395779555298, -0.3722956268281036"
1684,99110115,CRONISTA CARRERES C,XEREA,Jardines,679.045443825,SUR,CIUTAT VELLA,"39.47290868634488, -0.3679542046106025"
