Zona,Lat,Lon,KEY
"AV. TRES FORQUES, Nº 139 (de Av. Tres Cruces a Ceramista Ros)",39.4634396,-0.4046913,171
"JOSÉ MAESTRE, Nº 31 (de Llombay a Av. Tres Forques)",39.464277,-0.4033743,172
"AV. TRES FORQUES, Nº 47 (de Venerable Agnesio a Turís)",39.4638624,-0.3935971,173
"AV. TRES FORQUES, Nº 40 (de Maestro Bellver a Ayora)",39.4642738,-0.3927474,174
"AV. TRES FORQUES, Nº 71 (de Av. Archiduque Carlos a Pintor Pascual Capuz)",39.4638262,-0.3955393,175
"AV. PÉREZ GALDÓS, Nº 39 (de Av. del Cid a Tres Forques)",39.4655511,-0.3892508,178
"AV. DEL CID, Nº 7 (de Ayora a Av. Pérez Galdós)",39.4669913,-0.3913706,180
"AV. PÉREZ GALDÓS, Nº 74 (de Héroe Romeu a Ángel Guimerá)",39.4683524,-0.3908261,181
"ANGEL GUIMERÁ, Nº 47 (de Buen Orden a Alberique)",39.46939769999999,-0.3887966,182
"ANGEL GUIMERÁ, Nº 65 (de Alberique a Av. Pérez Galdós)",39.469059,-0.3902381,183
"SAN FRANCISCO DE BORJA, Nº 17 (de Salas Quiroga a Jesús)",39.46612540885144,-0.3855496375653576,184
"P.I. AV. PÉREZ GALDÓS, Nº 96 (de Cartagena a Tres Forques)",39.4705309,-0.3923389,185
"AV. PÉREZ GALDÓS, Nº 116 (de Sta. Micaela a Maestro Guerrero)",39.4720757,-0.3934632,186
"Pº PECHINA, Nº 37 (de Teruel a Norte)",39.4764254,-0.3926249,187
"SAN JOSÉ DE LA MONTAÑA, Nº20 (de González Martí a Pérez Galdós)",39.4744067,-0.3936403,188
"Pº PECHINA, Nº 42 (de Av. Pérez Galdós a Teruel)",39.4753861,-0.3948221,189
"AV. ARCHIDUQUE CARLOS, Nº 10 (de Chiva a Enguera)",39.46640850000001,-0.3935728,190
PTE. CAMPANAR (SALIDA) (de Pº Pechina a Maestro Rodrigo),39.4828243,-0.3922198,191
"CUENCA, Nº 86 (de Calamocha a Av. Pérez Galdós)",39.4633761,-0.3892338,192
"AV. PÉREZ GALDÓS, Nº 119 (de Alcalde Albors a Cartagena)",39.4724776,-0.3945239,193
"SAN JOSÉ DE CALASANZ, Nº21 (de Av. Pérez Galdós a Alberique)",39.4666812,-0.3883003,194
"QUART, Nº 131 (de Norte a Juan Llorens)",39.4744746,-0.3906994,195
"LORCA, Nº 6 (de Av. Pérez Galdós a Av. del Cid)",39.4683953,-0.3921993,196
"AV. PÉREZ GALDÓS, Nº 124 (de Maestro Guerrero a San José de la Montaña)",39.4734918,-0.3944965,197
"CUENCA, Nº 59 (de Av. Pérez Galdós a Honorato Juan)",39.4645922,-0.3877731,198
"CUENCA, Nº 56 (de Alberique a San José de Calasanz)",39.4659058,-0.3872197,199
"ERUDITO ORELLANA, Nº 15 (de Palleter a Ángel Guimerá)",39.4704213,-0.387744,200
"ALBERIQUE, Nº 27 (de Onteniente a Navarro Llorens)",39.467337,-0.388845,201
"MAESTRO GUERRERO, Nº 7 (de Av. Pérez Galdós a González Martí)",39.4729838,-0.3937886,202
P.I. Pº PECHINA - MITAD DEL TUNEL (de Torres a Sanchís Bergón),39.4755917,-0.39485,203
"AV. DEL CID, Nº 38 (de Totana a Hnos. Rivas)",39.4685906,-0.3953362,204
"AV. DEL CID, Nº 78 GIRO A BURGOS (de José Maestre a Burgos)",39.46901570234328,-0.4001103000317104,205
"AV. DEL CID, Nº 94 GIRO A IZQUIERDA (de Burgos a José Maestre)",39.4694872,-0.4015794,206
P.I. AV. DEL CID (de Misericordia a José Maestre),39.4695821,-0.4054033,207
"AV. DEL CID, Nº 75 GIRO IZQUIERDA (de Sureres a Ciudad de Mislata)",39.4691147,-0.4118311,208
"AV. DEL CID, Nº 154 GIRO IZQUIERDA (de Ciudad de Mislata a Marconi)",39.4699637,-0.413281,209
AV. DEL CID Nº 85 (sentido entrada de Marconi a Misericordia),39.4690958,-0.413328,210
"AV. DEL CID, Nº 103 (Salida de Mislata a Marconi)",39.4689944,-0.4156094,211
AV. CID nº 156 (SALIDA) (de Pl. Joan Fuster a Cº. Viejo de Xirivella (Mislata)),39.4699711,-0.4135393,212
9 D'OCTUBRE s/n esquina Democracia (de Democracia a Cieza),39.47276350326665,-0.4054164696102461,213
"9 D'OCTUBRE, Nº 14 (de Pintor Stolz a Pº Pechina)",39.471148316075215,-0.4054915398517855,214
DEMOCRACIA frente nº 93 (de Mislata a 9 d'Octubre),39.4738338,-0.3756348,215
DEMOCRACIA s/n (de Rincón Ademúz a 9 d'Octubre),39.4728804,-0.4013832,216
"Pº PECHINA, Nº 51 (de Torres a Baladre)",39.4742392,-0.3980516,217
PTE. 9 D'OCTUBRE (de Pº Pechina a Manuel de Falla),39.4736745,-0.4059177,218
"CARTAGENA, Nº 9 (de Totana a Av. Pérez Galdós)",39.4704859,-0.394214,219
"BRASIL, Nº 31 (de Francisco Moreno Usedo a Pl. Arturo Piera)",39.4738338,-0.3756348,220
TORRES nº 30 (de Brasil a Democracia),39.4766964,-0.3915547,221
"P.I. AV. DEL CID, Nº 106 (de Burgos a Ciudad de Mislata)",39.469743,-0.4029789,222
"Pº PECHINA, S/N (de 9 d'Octubre a Rincón de Ademuz)",39.4755917,-0.39485,223
"AV. DEL CID, Nº 39 (de Sta. Cruz de Tenerife a Enguera)",39.4696779,-0.4056106,224
"AV. DEL CID, Nº 36 (de Enguera a Av. Archiduque Carlos)",39.46862489999999,-0.3953309,225
"LINARES, Nº 17 (de Julian Peña a Totana)",39.4685002,-0.3937355,226
"P.I. Pº PECHINA, Nº 51 (entrada a túnel, de Torres a Dr. Sanchis Bergón)",39.4742392,-0.3980516,227
"AV. DEL CID, Nº 78 (de Burgos a Rincón de Ademuz)",39.4691484,-0.4001127,228
DEMOCRACIA nº 34 (de Torres a Brasil),39.4738506,-0.3993582,229
"AV. DEL CID, Nº 65 (de Misericordia a Av. Tres Cruces)",39.4695442,-0.406592,230
"AV. PÍO XII, Nº 9 (de Av. Campanar a Tirso de Molina)",39.4803756,-0.3928221,231
PTE. DE ADEMUZ (de Av. Pío XII a Paseo Pechina),39.4780655,-0.3906446,232
"AV. CAMPANAR, Nº 17 (de Gil Roger a Nicasio Benlloch)",39.486425,-0.390374,233
"AV. CAMPANAR, FRENTE Nº 3 (de Conchita Piquer a Av. Pío XII)",39.4828243,-0.3922198,234
"AV. GRAL. AVILÉS, Nº 14 (de Nicasio Benlloch a Av. Pío XII)",39.4878242,-0.3919411,235
"NICASIO BENLLOCH, Nº 5 (de Av. Campanar a Av. Burjasot)",39.4871757,-0.3888456,236
"AV. BURJASOT, Nº 100 (de San Pancracio a Av. Dr. Peset Aleixandre)",39.487646,-0.3883002,237
"AV. DR. PESET ALEIXANDRE, Nº 149 (de Av. Burjasot a Goleta)",39.4885624,-0.3889806,238
"AV. DR. PESET ALEIXANDRE, Nº 134 (de José Grollo a Av. Burjasot)",39.48909,-0.3883551,239
"AV. BURJASOT, Nº 36 (de Málaga a Reus)",39.4843939,-0.3838284,240
"AV. PÍO XII, Nº 4 (de Menéndez Pidal a Av. Campanar)",39.4812004,-0.3920727,241
"MENÉNDEZ PIDAL, Nº 15 (de Beltrán Báguena a Av. Pío XII)",39.4800023,-0.3907192,242
"MENÉNDEZ PIDAL, Nº 2 (de Padre Ferris a Ricardo Micó)",39.4817142,-0.3845041,243
"MAURO GUILLEM, Nº 1 (de Pte. de las Artes a Av. Burjasot)",39.4824463,-0.3830541,244
"LLANO DE LA ZAIDIA, Nº 17 (de Dr. Oloriz a Av. Burjasot)",39.4831936,-0.380877,245
"AV. DR. PESET ALEIXANDRE, Nº 129 (de Guillem Ferrer a Francisco Tárrega)",39.4891122,-0.3866791,246
"AV. DR. PESET ALEIXANDRE, Nº 123 (de Francisco Tárrega a Dr. Oloriz)",39.4893752,-0.3853348,247
AV. DR. PESET ALEIXANDRE FRENTE Nº 127 (de Montduver a José Grollo),39.4902932,-0.3817261,249
"AV. MENÉNDEZ PIDAL, Nº 4 (de Ricardo Micó a Pte. de las Artes)",39.4816065,-0.3847943,250
PTE. DE LAS ARTES (de Padre Ferris a Guillem de Castro),39.4808243,-0.3834769,251
P.I. MAURO GUILLEM (de Llano de la Zaidia a Av. Menéndez Pidal),39.4821576,-0.3829256,252
P.I. MENÉNDEZ PIDAL (de Av. Menéndez Pidal a  Av. Tirso de Molina),39.4801368,-0.3874877,253
"REUS, Nº 6 (de Av. Burjasot a Alqueria de la Estrella)",39.4851396,-0.3843006,254
"REUS, Nº 16 (de Alqueria de la Estrella a Av. Burjasot)",39.4855884,-0.38349,255
"REUS S/N,  Esquina P. Llorente (De Periodista Llorente a Dr. Oloriz)",39.4857349,-0.3815913,256
